fecha,producto,cantidad_vendida,precio
01/01/2024,Guantes de látex,71,1221.16
01/01/2024,Focos LED,29,1455.18
01/01/2024,Martillo,37,424.97
02/01/2024,Cemento gris,65,1905.18
02/01/2024,Toma corriente doble,3,1885.53
02/01/2024,Pegamento para PVC,35,2436.96
03/01/2024,Cutter,41,824.47
03/01/2024,Pintura vinílica blanca,40,2476.62
03/01/2024,Taquetes,40,232.55
04/01/2024,Espátula metálica,41,1201.86
04/01/2024,Espátula metálica,22,1201.86
05/01/2024,Codo PVC,62,2375.53
05/01/2024,Llave inglesa,46,540.94
05/01/2024,Cinta masking,61,1062.02
06/01/2024,Pinzas universales,76,631.38
06/01/2024,Cutter,63,824.47
06/01/2024,Trapo industrial,32,1277.03
07/01/2024,Malla ciclónica,65,2155.37
07/01/2024,Multicontacto,45,1732.15
07/01/2024,Focos LED,50,1455.18
08/01/2024,Brocha de 2 pulgadas,10,960.72
08/01/2024,Apagadores,21,1488.6
09/01/2024,Toma corriente doble,97,1885.53
09/01/2024,Cable de cobre calibre 12,72,1782.49
09/01/2024,Cinta aislante,85,1321.73
10/01/2024,Tuercas,74,304.35
10/01/2024,Thinner,17,1185.84
10/01/2024,Trapo industrial,39,1277.03
11/01/2024,Ganchos de pared,72,337.56
11/01/2024,Arena fina,85,1983.01
11/01/2024,Martillo,39,424.97
12/01/2024,Arandelas,13,266.09
12/01/2024,Tuercas,84,304.35
13/01/2024,Pijas,89,322.86
13/01/2024,Malla ciclónica,40,2155.37
13/01/2024,Cubeta plástica de 19 L,30,1267.7
14/01/2024,Desarmador de cruz,37,535.8
14/01/2024,Tuercas,18,304.35
14/01/2024,Remaches,3,405.92
15/01/2024,Pegamento para PVC,84,2436.96
15/01/2024,Silicón sellador,25,1126.67
15/01/2024,Desarmador plano,37,534.85
16/01/2024,Clavos de acero,32,120.12
16/01/2024,Martillo,4,424.97
17/01/2024,Guantes de látex,18,1221.16
17/01/2024,Llave allen,48,567.73
17/01/2024,Codo PVC,44,2375.53
18/01/2024,Pinzas universales,90,631.38
18/01/2024,Pegamento para PVC,36,2436.96
18/01/2024,Martillo,97,424.97
19/01/2024,Extensión eléctrica,99,1548.78
19/01/2024,Trapo industrial,57,1277.03
19/01/2024,Varilla de acero,56,2071.19
20/01/2024,Grapas metálicas,15,401.56
20/01/2024,Ganchos de pared,78,337.56
21/01/2024,Grapas metálicas,61,401.56
21/01/2024,Clavos de acero,72,120.12
21/01/2024,Grapas metálicas,25,401.56
22/01/2024,Martillo,83,424.97
22/01/2024,Guantes de látex,3,1221.16
22/01/2024,Conectores eléctricos,75,1842.62
23/01/2024,Trapo industrial,13,1277.03
23/01/2024,Martillo,30,424.97
24/01/2024,Pintura vinílica blanca,91,2476.62
24/01/2024,Desarmador de cruz,64,535.8
24/01/2024,Desarmador de cruz,67,535.8
25/01/2024,Cepillo de alambre,55,847.24
25/01/2024,Pinzas universales,48,631.38
25/01/2024,Arandelas,18,266.09
26/01/2024,Varilla de acero,55,2071.19
26/01/2024,Extensión eléctrica,91,1548.78
26/01/2024,Silicón sellador,9,1126.67
27/01/2024,Espátula metálica,82,1201.86
27/01/2024,Martillo,17,424.97
28/01/2024,Fusible,74,1892.7
28/01/2024,Cubeta plástica de 19 L,82,1267.7
28/01/2024,Serrucho,88,591.25
29/01/2024,Cemento gris,78,1905.18
29/01/2024,Pintura vinílica blanca,8,2476.62
29/01/2024,Trapo industrial,29,1277.03
30/01/2024,Arandelas,92,266.09
30/01/2024,Espátula metálica,76,1201.86
